ProductNumber,BrandName,ProductName,Nameless,Country,grams,mL,Pcs,DollarPerKg,Dollars,BusinessName,Location1,HoursMon,HoursTue,HoursWed,HoursThu,HoursFri,HoursSat,HoursSun,Phone
HK000010011,null,Canadian Whole Oxtail,null,Canada,1130,null,null,118,null,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010012,null,Canadian Halibut,null,Canada,null,null,null,127,null,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010013,null,Brazilian Adora Chicken Mid Joint Wings,null,Brazil,1000,null,null,64,null,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010014,null,German Style Pork Knuckle,null,Germany,null,null,null,61,null,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010015,Montosco ,Mixed Peppercorns Grinder,null,Italy,220,null,null,null,220,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010016,Montosco ,Sicilian White Salt Grinder,null,Italy,640,null,null,null,210,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010017,Montosco ,Pink Himalayan Salt and Black Peppercorns Grinder,null,Italy,415,null,null,null,255,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010018,Montosco ,Sliced Garlic Grinder,null,Italy,20,null,null,null,68,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010019,Montosco ,Denmark Smoked Salt Grinder,null,Italy,96,null,null,null,92,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010020,Montosco ,Sicilian White Salt with BBQ Flavor,null,Italy,90,null,null,null,68,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010021,Inaudi,Inaudi Black Truffle Sauce,null,Italy,null,null,null,null,null,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010022,Jamie Oliver,Balsamic Vinegar of Modena,null,England,null,250,null,null,40,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010023,Jamie Oliver,Smoked Chili Salt Grinder,null,England,50,null,null,null,43,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010024,Jamie Oliver,Szechuan Pepper; Chili & Ginger Salt Grinder,null,England,35,null,null,null,43,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010025,Jamie Oliver,Thyme; Lemon & Bay Salt Grinder,null,England,70,null,null,null,43,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010026,Jamie Oliver,Tellicherry Black Peppercorns Grinder,null,England,95,null,null,null,43,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010027,Jamie Oliver,Pink Himalayan Salt Grinder,null,England,50,null,null,null,43,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010028,Jamie Oliver,BBQ Seasoning Grinder,null,England,50,null,null,null,43,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010029,Jamie Oliver,Mediterranean Sea Salt Grinder,null,England,360,null,null,null,74,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010030,Jamie Oliver,Tomato & Chili Pasta Sauce,null,Italy,400,null,null,null,37,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010031,Jamie Oliver,Red Onion & Rosemary Pasta Sauce,null,Italy,400,null,null,null,37,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010032,Jamie Oliver,Tomato; Olive & Garlic Pasta Sauce,null,Italy,400,null,null,null,37,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010033,Jamie Oliver,Tomato; Ricotta & Basil Pasta Sauce,null,Italy,400,null,null,null,37,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010034,Tracklements,Fig Relish,null,England,250,null,null,null,58,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010035,Tracklements,Apple & Cider Brandy Sauce,null,England,210,null,null,null,50,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010036,Tracklements,Strong English Mustard,null,England,140,null,null,null,42,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010037,Casale,Prosciutto,null,Italy,100,null,null,null,68,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010038,null,Iberico Ham,null,Spain,100,null,null,null,130,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010039,British Premium Sausages,Cumberland Sausages,null,England,454,null,6,null,60,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010040,British Premium Sausages,Lincolnshire Sausages,null,England,454,null,6,null,60,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010041,Donald Russell,Artisan Pork Sausage Rolls,null,England,460,null,4,null,93,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010042,KPride,Kimchi Sausage,null,Korea,240,null,4,null,43,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010043,KPride,Bulgogi Pork Sausage,null,Korea,240,null,4,null,43,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010044,KPride,Neobiani Pork Patties,null,Korea,200,null,2,null,43,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
HK000010045,KPride,Cheese Neobiani Pork Patties,null,Korea,200,null,2,null,43,Home Gourmet Ltd.,4/F Unit S International Industrial Centre 2-8 Kwei Tei Street Fo Tan; New Territories,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 13:00,Closed,852-9382-3412
CA000010001,Ol'Grandad's Snacks; Inc.,Mexican Flavored Jalapeno Potato Chips,null,Canada,57,null,null,null,1.79,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010002,Ol'Grandad's Snacks; Inc.,Regular Potato Chips,null,Canada,57,null,null,null,1.79,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010003,Ol'Grandad's Snacks; Inc.,Salt & Vinegar Potato Chips,null,Canada,57,null,null,null,1.79,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010004,Ol'Grandad's Snacks; Inc.,Regular Potato Chips,null,Canada,184,null,null,null,3.79,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010005,Ol'Grandad's Snacks; Inc.,Salt & Vinegar Potato Chips,null,Canada,184,null,null,null,3.79,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010006,Ol'Grandad's Snacks; Inc.,Mexican Flavored Jalapeno Potato Chips,null,Canada,184,null,null,null,3.79,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010007,Snappy Snax,Corn Chips Original,Kosher,USA,312,null,null,null,2.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010008,Krakus,Red Paprika Chips,null,Poland,150,null,null,null,2.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010009,Menz & Gasser,Sweetened Chestnut Puree,null,Italy,null,250,null,null,4.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010010,Valade en Correze,Chestnut Cream,null,France,370,null,null,null,7.79,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010011,Raureni,Chesnut Puree,null,Romania,null,314,null,null,5.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010012,Cholvy Artige,Chestnuts Whole,null,France,439,425,null,null,11.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010013,Cholvy Artige,Chestnut Spread,null,France,250,212,null,null,5.79,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010014,Honey Bear,Chestnut Puree,null,Hungary,null,860,null,null,19.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010015,Les Comtes de Provence,Chesnut Cream,null,France,370,null,null,null,8.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010016,Piroska,Strawberry Syrup,null,Hungary,null,700,null,null,5.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010017,Piroska,Rosehip flavoured syrup,null,Hungary,null,700,null,null,5.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010018,Piroska,Sour Cherry Syrup,null,Hungary,null,700,null,null,5.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010019,Piroska,Raspberry Syrup,null,Hungary,null,700,null,null,5.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010020,Piroska,Elder Syrup,null,Hungary,null,700,null,null,5.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010021,Piroska,Blackcurrant Syrup,null,Hungary,null,700,null,null,5.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010022,Bayernwald KG,Spiced Fruit Punch - Non-alcoholic,null,Germany,null,1000,null,null,6.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010023,Marie Brizard,Blackcurrant Syrup,null,France,null,70CL,null,null,12.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010024,Marie Brizard,Sugar Cane Syrup,null,France,null,70CL,null,null,12.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010025,Marie Brizard,Grenadine Syrup,null,France,null,70CL,null,null,12.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010026,Marie Brizard,Lime Juice Cordial,null,France,null,70CL,null,null,12.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010027,Raureni,Elderberry & Lemon Syrup,null,Romania,null,500,null,null,4.79,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010028,Raureni,Sour Cherry Syrup,null,Romania,null,500,null,null,4.79,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010029,Raureni,Raspberry Syrup,null,Romania,null,500,null,null,4.79,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010030,Lakewood,Pure Cranberry Fruit Juice,null,USA,null,946,null,null,17.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010031,Lakewood,Cold Pressed - Beet Juice,null,USA,null,946,null,null,11.79,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010032,Hero,Mango Nectar,null,Germany,null,1000,null,null,5.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010033,Braswell's,Mint Jelly with Leaves,null,USA,297,null,null,null,5.29,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010034,Braswell's,Hot Jalapeno Pepper Jelly,null,USA,297,null,null,null,6.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010035,Braswell's,Red Pepper Jelly,null,USA,null,236,null,null,6.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010036,Honey Bear,Acacia Honey,null,Hungary,500,null,null,null,9.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010037,Gloria,Acacia Honey,null,Croatia,500,null,null,null,9.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010038,Langnese,Forest Honey,null,Germany,375,null,null,null,11.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010039,Nectaflor,Mountain Honey,null,Switzerland,250,null,null,null,8.79,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010040,Langnese,Fruit Honey,null,Germany,250,null,null,null,9.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010041,Honey Bear,Linden Honey,null,Hungary,500,null,null,null,8.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010042,Attiki,Greek Liquid Honey,null,Greece,500,null,null,null,18.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010043,Pic-Nic,Acacia Honey,null,Romania,500,null,null,null,11.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010044,Pic-Nic,Linden Honey,null,Romania,500,null,null,null,11.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010045,Divorek,Buckwheat Honey,null,Poland,400,null,null,null,8.99,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
CA000010046,S&F,Chocolate Hazelnut Sprad Duo,null,Germany,400,null,null,null,3.49,European Delicatessen,1568 Merivale Road; Unit 8A,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 17:00,Closed,null
